run_id,source,profile_family,profile_variant,duration_s,sample_time_s,initial_hold_s,cooldown_s,seed,ambient_ref_start,t1_start,t2_start,t1_end,t2_end,q1_mean,q1_max,q2_mean,q2_max,n_segments_q1,n_segments_q2,coordination_mode,contains_short_segment,profile_signature,run_ok,comment
run_0001,hardware,q2_dominant,q2_dominant_v01,600,1.0,28,60,42,18.80045,19.126,18.32,24.314,24.733,11.966666666666667,30.0,24.016666666666666,90.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 6, ""q1_mean_bin"": 2, ""q1_nseg"": 6, ""q2_max_bin"": 18, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0002,hardware,staggered_steps,staggered_steps_v01,600,1.0,27,60,42,18.80045,19.932,19.609,27.666,28.794,25.175,95.0,32.333333333333336,95.0,5,5,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 19, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 19, ""q2_mean_bin"": 6, ""q2_nseg"": 7, ""short"": 1}",True,
run_0003,hardware,q1_dominant,q1_dominant_v01,600,1.0,24,60,42,18.80045,20.318,19.609,34.434,35.078,36.24166666666667,90.0,22.225,35.0,5,5,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 18, ""q1_mean_bin"": 7, ""q1_nseg"": 7, ""q2_max_bin"": 7, ""q2_mean_bin"": 4, ""q2_nseg"": 6, ""short"": 1}",True,
run_0004,hardware,coordinated,coordinated_v01,600,1.0,21,60,42,18.80045,20.254,19.609,44.102,38.816,45.8,100.0,28.533333333333335,85.0,5,5,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 20, ""q1_mean_bin"": 9, ""q1_nseg"": 7, ""q2_max_bin"": 17, ""q2_mean_bin"": 6, ""q2_nseg"": 7, ""short"": 1}",True,
run_0005,hardware,q2_dominant,q2_dominant_v01,600,1.0,30,60,42,18.80045,20.254,19.609,30.244,29.6,17.733333333333334,40.0,32.44166666666667,95.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 8, ""q1_mean_bin"": 4, ""q1_nseg"": 7, ""q2_max_bin"": 19, ""q2_mean_bin"": 6, ""q2_nseg"": 7, ""short"": 1}",True,
run_0006,hardware,staggered_steps,staggered_steps_v01,600,1.0,23,60,42,18.80045,20.254,19.609,29.922,28.633,20.283333333333335,70.0,18.716666666666665,80.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 14, ""q1_mean_bin"": 4, ""q1_nseg"": 6, ""q2_max_bin"": 16, ""q2_mean_bin"": 4, ""q2_nseg"": 6, ""short"": 1}",True,
run_0007,hardware,q2_dominant,q2_dominant_v01,600,1.0,27,60,42,18.80045,20.254,19.674,36.013,34.434,16.341666666666665,45.0,39.016666666666666,95.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 9, ""q1_mean_bin"": 3, ""q1_nseg"": 6, ""q2_max_bin"": 19, ""q2_mean_bin"": 8, ""q2_nseg"": 7, ""short"": 1}",True,
run_0008,hardware,coordinated,coordinated_v01,600,1.0,28,60,42,18.80045,20.254,19.609,47.937,46.357,44.708333333333336,90.0,42.66,85.0,5,5,same_direction,True,"{""coordination_mode"": ""same_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 18, ""q1_mean_bin"": 9, ""q1_nseg"": 6, ""q2_max_bin"": 17, ""q2_mean_bin"": 9, ""q2_nseg"": 7, ""short"": 1}",True,
run_0009,hardware,q2_dominant,q2_dominant_v01,600,1.0,22,60,42,18.80045,20.254,19.609,26.377,25.41,2.45,25.0,29.95,95.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 5, ""q1_mean_bin"": 0, ""q1_nseg"": 5, ""q2_max_bin"": 19, ""q2_mean_bin"": 6, ""q2_nseg"": 6, ""short"": 1}",True,
run_0010,hardware,q2_dominant,q2_dominant_v01,600,1.0,28,60,42,18.80045,20.286,19.609,24.766,25.12,4.466666666666667,25.0,25.091666666666665,65.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 5, ""q1_mean_bin"": 1, ""q1_nseg"": 5, ""q2_max_bin"": 13, ""q2_mean_bin"": 5, ""q2_nseg"": 5, ""short"": 1}",True,
run_0011,hardware,staggered_steps,staggered_steps_v01,600,1.0,29,60,42,18.80045,20.351,19.609,32.887,35.755,33.95,80.0,32.8,85.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 16, ""q1_mean_bin"": 7, ""q1_nseg"": 6, ""q2_max_bin"": 17, ""q2_mean_bin"": 7, ""q2_nseg"": 6, ""short"": 1}",True,
run_0012,hardware,q2_dominant,q2_dominant_v01,600,1.0,22,60,42,18.80045,20.576,19.642,25.732,26.022,11.4,45.0,23.441666666666666,75.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 9, ""q1_mean_bin"": 2, ""q1_nseg"": 6, ""q2_max_bin"": 15, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0013,hardware,coordinated,coordinated_v01,600,1.0,25,60,42,18.80045,20.576,19.706,29.922,30.18,25.141666666666666,75.0,27.035,80.0,4,4,same_direction,True,"{""coordination_mode"": ""same_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 15, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 16, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0014,hardware,coordinated,coordinated_v01,600,1.0,21,60,42,18.80045,20.447,19.771,28.633,28.762,30.6,80.0,17.566666666666666,50.0,5,5,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 16, ""q1_mean_bin"": 6, ""q1_nseg"": 6, ""q2_max_bin"": 10, ""q2_mean_bin"": 4, ""q2_nseg"": 6, ""short"": 1}",True,
run_0015,hardware,q1_dominant,q1_dominant_v01,600,1.0,21,60,42,18.80045,20.254,19.609,35.078,37.012,40.975,90.0,15.866666666666667,40.0,5,5,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 18, ""q1_mean_bin"": 8, ""q1_nseg"": 7, ""q2_max_bin"": 8, ""q2_mean_bin"": 3, ""q2_nseg"": 6, ""short"": 1}",True,
run_0016,hardware,q2_dominant,q2_dominant_v01,600,1.0,24,60,42,18.80045,20.254,19.609,31.243,29.245,14.033333333333333,30.0,32.541666666666664,95.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 6, ""q1_mean_bin"": 3, ""q1_nseg"": 5, ""q2_max_bin"": 19, ""q2_mean_bin"": 7, ""q2_nseg"": 6, ""short"": 1}",True,
run_0017,hardware,q1_dominant,q1_dominant_v01,600,1.0,27,60,42,18.80045,20.447,19.609,33.435,37.012,43.675,100.0,20.95,45.0,5,5,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 20, ""q1_mean_bin"": 9, ""q1_nseg"": 7, ""q2_max_bin"": 9, ""q2_mean_bin"": 4, ""q2_nseg"": 6, ""short"": 1}",True,
run_0018,hardware,staggered_steps,staggered_steps_v01,600,1.0,20,60,42,18.80045,20.254,19.642,33.145,34.434,33.583333333333336,80.0,38.99166666666667,95.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 16, ""q1_mean_bin"": 7, ""q1_nseg"": 6, ""q2_max_bin"": 19, ""q2_mean_bin"": 8, ""q2_nseg"": 6, ""short"": 1}",True,
run_0019,hardware,q2_dominant,q2_dominant_v01,600,1.0,29,60,42,18.80045,20.254,19.609,29.6,30.953,17.475,45.0,32.775,90.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 9, ""q1_mean_bin"": 3, ""q1_nseg"": 7, ""q2_max_bin"": 18, ""q2_mean_bin"": 7, ""q2_nseg"": 7, ""short"": 1}",True,
run_0020,hardware,coordinated,coordinated_v01,600,1.0,20,60,42,18.80045,20.254,19.609,29.277,28.955,35.00833333333333,95.0,15.325,65.0,4,4,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 19, ""q1_mean_bin"": 7, ""q1_nseg"": 6, ""q2_max_bin"": 13, ""q2_mean_bin"": 3, ""q2_nseg"": 6, ""short"": 1}",True,
run_0021,hardware,q2_dominant,q2_dominant_v01,600,1.0,24,60,42,18.80045,20.222,19.609,25.861,28.021,7.066666666666666,25.0,38.05,70.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 5, ""q1_mean_bin"": 1, ""q1_nseg"": 6, ""q2_max_bin"": 14, ""q2_mean_bin"": 8, ""q2_nseg"": 6, ""short"": 1}",True,
run_0022,hardware,q1_dominant,q1_dominant_v01,600,1.0,24,60,42,18.80045,20.222,19.609,27.021,28.149,27.116666666666667,85.0,16.25,40.0,4,4,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 17, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 8, ""q2_mean_bin"": 3, ""q2_nseg"": 6, ""short"": 1}",True,
run_0023,hardware,coordinated,coordinated_v01,600,1.0,29,60,42,18.80045,20.254,19.609,33.66,33.145,26.425,85.0,35.90833333333333,90.0,5,5,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 17, ""q1_mean_bin"": 5, ""q1_nseg"": 7, ""q2_max_bin"": 18, ""q2_mean_bin"": 7, ""q2_nseg"": 7, ""short"": 1}",True,
run_0024,hardware,coordinated,coordinated_v01,600,1.0,24,60,42,18.80045,20.254,19.609,27.344,27.344,23.316666666666666,70.0,24.563333333333333,75.0,4,4,same_direction,True,"{""coordination_mode"": ""same_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 14, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 15, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
