run_id,source,profile_family,profile_variant,duration_s,sample_time_s,initial_hold_s,cooldown_s,seed,ambient_ref_start,t1_start,t2_start,t1_end,t2_end,q1_mean,q1_max,q2_mean,q2_max,n_segments_q1,n_segments_q2,coordination_mode,contains_short_segment,profile_signature,run_ok,comment
run_0001,model,q2_dominant,q2_dominant_v01,600,1.0,28,60,42,20.788349999999998,20.949499999999997,20.949499999999997,23.205599999999997,22.8833,12.087542087542088,30.0,24.25925925925926,90.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 6, ""q1_mean_bin"": 2, ""q1_nseg"": 6, ""q2_max_bin"": 18, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0002,model,staggered_steps,staggered_steps_v01,600,1.0,27,60,42,20.949499999999997,20.949499999999997,20.949499999999997,24.817099999999996,24.494799999999998,25.175,95.0,32.333333333333336,95.0,5,5,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 19, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 19, ""q2_mean_bin"": 6, ""q2_nseg"": 7, ""short"": 1}",True,
run_0003,model,q1_dominant,q1_dominant_v01,600,1.0,24,60,42,20.949499999999997,20.6272,20.949499999999997,30.618499999999997,27.073199999999996,36.24166666666667,90.0,22.225,35.0,5,5,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 18, ""q1_mean_bin"": 7, ""q1_nseg"": 7, ""q2_max_bin"": 7, ""q2_mean_bin"": 4, ""q2_nseg"": 6, ""short"": 1}",True,
run_0004,model,coordinated,coordinated_v01,600,1.0,21,60,42,20.949499999999997,20.949499999999997,20.949499999999997,42.2213,27.073199999999996,45.8,100.0,28.533333333333335,85.0,5,5,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 20, ""q1_mean_bin"": 9, ""q1_nseg"": 7, ""q2_max_bin"": 17, ""q2_mean_bin"": 6, ""q2_nseg"": 7, ""short"": 1}",True,
run_0005,model,q2_dominant,q2_dominant_v01,600,1.0,30,60,42,20.949499999999997,20.949499999999997,20.949499999999997,27.3955,25.1394,17.733333333333334,40.0,32.44166666666667,95.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 8, ""q1_mean_bin"": 4, ""q1_nseg"": 7, ""q2_max_bin"": 19, ""q2_mean_bin"": 6, ""q2_nseg"": 7, ""short"": 1}",True,
run_0006,model,staggered_steps,staggered_steps_v01,600,1.0,23,60,42,20.949499999999997,20.949499999999997,20.949499999999997,27.717799999999997,23.5279,20.283333333333335,70.0,18.716666666666665,80.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 14, ""q1_mean_bin"": 4, ""q1_nseg"": 6, ""q2_max_bin"": 16, ""q2_mean_bin"": 4, ""q2_nseg"": 6, ""short"": 1}",True,
run_0007,model,q2_dominant,q2_dominant_v01,600,1.0,27,60,42,20.788349999999998,20.6272,20.949499999999997,32.23,28.6847,16.341666666666665,45.0,39.016666666666666,95.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 9, ""q1_mean_bin"": 3, ""q1_nseg"": 6, ""q2_max_bin"": 19, ""q2_mean_bin"": 8, ""q2_nseg"": 7, ""short"": 1}",True,
run_0008,model,coordinated,coordinated_v01,600,1.0,28,60,42,20.949499999999997,20.949499999999997,20.949499999999997,43.188199999999995,34.4861,44.857859531772576,90.0,42.802675585284284,85.0,5,5,same_direction,True,"{""coordination_mode"": ""same_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 18, ""q1_mean_bin"": 9, ""q1_nseg"": 6, ""q2_max_bin"": 17, ""q2_mean_bin"": 9, ""q2_nseg"": 7, ""short"": 1}",True,
run_0009,model,q2_dominant,q2_dominant_v01,600,1.0,22,60,42,20.788349999999998,20.949499999999997,20.949499999999997,24.817099999999996,24.1725,2.45,25.0,29.95,95.0,5,5,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 5, ""q1_mean_bin"": 0, ""q1_nseg"": 5, ""q2_max_bin"": 19, ""q2_mean_bin"": 6, ""q2_nseg"": 6, ""short"": 1}",True,
run_0010,model,q2_dominant,q2_dominant_v01,600,1.0,28,60,42,20.949499999999997,20.6272,20.6272,22.561,23.5279,4.466666666666667,25.0,25.091666666666665,65.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 5, ""q1_mean_bin"": 1, ""q1_nseg"": 5, ""q2_max_bin"": 13, ""q2_mean_bin"": 5, ""q2_nseg"": 5, ""short"": 1}",True,
run_0011,model,staggered_steps,staggered_steps_v01,600,1.0,29,60,42,20.949499999999997,20.949499999999997,20.949499999999997,28.362399999999997,28.362399999999997,33.95,80.0,32.8,85.0,4,4,staggered,True,"{""coordination_mode"": ""staggered"", ""family"": ""staggered_steps"", ""q1_max_bin"": 16, ""q1_mean_bin"": 7, ""q1_nseg"": 6, ""q2_max_bin"": 17, ""q2_mean_bin"": 7, ""q2_nseg"": 6, ""short"": 1}",True,
run_0012,model,q2_dominant,q2_dominant_v01,600,1.0,22,60,42,20.949499999999997,20.949499999999997,20.949499999999997,23.205599999999997,23.205599999999997,11.59322033898305,45.0,23.838983050847457,75.0,4,4,q2_dominant,True,"{""coordination_mode"": ""q2_dominant"", ""family"": ""q2_dominant"", ""q1_max_bin"": 9, ""q1_mean_bin"": 2, ""q1_nseg"": 6, ""q2_max_bin"": 15, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0013,model,coordinated,coordinated_v01,600,1.0,25,60,42,20.949499999999997,20.949499999999997,20.949499999999997,25.784,24.1725,25.225752508361204,75.0,27.12541806020067,80.0,4,4,same_direction,True,"{""coordination_mode"": ""same_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 15, ""q1_mean_bin"": 5, ""q1_nseg"": 6, ""q2_max_bin"": 16, ""q2_mean_bin"": 5, ""q2_nseg"": 6, ""short"": 1}",True,
run_0014,model,coordinated,coordinated_v01,600,1.0,21,60,42,20.949499999999997,20.949499999999997,20.949499999999997,26.106299999999997,23.205599999999997,30.857142857142858,80.0,17.714285714285715,50.0,5,5,opposite_direction,True,"{""coordination_mode"": ""opposite_direction"", ""family"": ""coordinated"", ""q1_max_bin"": 16, ""q1_mean_bin"": 6, ""q1_nseg"": 6, ""q2_max_bin"": 10, ""q2_mean_bin"": 4, ""q2_nseg"": 6, ""short"": 1}",True,
run_0015,model,q1_dominant,q1_dominant_v01,600,1.0,21,60,42,20.788349999999998,20.949499999999997,20.949499999999997,31.585399999999996,28.6847,41.81122448979592,90.0,16.19047619047619,40.0,5,5,q1_dominant,True,"{""coordination_mode"": ""q1_dominant"", ""family"": ""q1_dominant"", ""q1_max_bin"": 18, ""q1_mean_bin"": 8, ""q1_nseg"": 7, ""q2_max_bin"": 8, ""q2_mean_bin"": 3, ""q2_nseg"": 6, ""short"": 1}",True,
